catch	id	player
2018-02-23 15:22:44.015	0000-0000-0353-3D35	darter60k
2018-02-23 15:22:44.015	0000-0000-0353-3D35	davidchofis
2018-02-23 15:22:44.015	0000-0000-0353-3D35	fabioviana
2018-02-23 15:22:44.015	0000-0000-0353-3D35	groebenzell
2018-02-23 15:22:44.015	0000-0000-0353-3D35	igatake0229
2018-02-23 15:22:44.015	0000-0000-0353-3D35	martiwish
2018-02-23 15:22:44.015	0000-0000-0353-3D35	risa.lll
2018-02-23 15:22:44.015	0000-0000-0353-3D35	Thank_you.0039
2018-02-23 15:22:44.015	0000-0000-0353-3D35	ukgirl617
2018-03-02 09:46:27.847	0000-0000-035A-9F14	jlan6e
2018-03-02 09:46:27.847	0000-0000-035A-9F14	joexantonio
2018-03-02 09:46:27.847	0000-0000-035A-9F14	moonbear89
2018-03-02 09:46:27.847	0000-0000-035A-9F14	SeeManRun
2017-12-18 14:47:47.489	0001-0000-0347-486A	alexflo59
2017-12-18 14:47:47.489	0001-0000-0347-486A	Bill214
2017-12-18 14:47:47.489	0001-0000-0347-486A	CalvoWan
2017-12-18 14:47:47.489	0001-0000-0347-486A	cat38690
2017-12-18 14:47:47.489	0001-0000-0347-486A	CHU-DONG
2017-12-18 14:47:47.489	0001-0000-0347-486A	Disrupt19
2018-03-01 08:55:56.232	0001-0000-0347-486A	galfazar37
2017-12-18 14:47:47.489	0001-0000-0347-486A	ikerynere
2018-03-01 08:55:56.232	0001-0000-0347-486A	KENNTAau5_10
2017-12-18 14:47:47.489	0001-0000-0347-486A	ldtreff
2018-02-03 17:49:06.993	0001-0000-0347-486A	migueML
2017-12-18 14:47:47.489	0001-0000-0347-486A	mjohnson1978
2017-12-18 14:47:47.489	0001-0000-0347-486A	Moritzmon
2017-12-18 14:47:47.489	0001-0000-0347-486A	Mr_Cookies_13
2017-12-18 14:47:47.489	0001-0000-0347-486A	namix1207
2017-12-18 14:47:47.489	0001-0000-0347-486A	pkleinot
2017-12-18 14:47:47.489	0001-0000-0347-486A	raulcaba
2017-12-18 14:47:47.489	0001-0000-0347-486A	Retroboss00
2018-01-02 07:08:05.577	0001-0000-0347-486A	shakku1602
2017-12-18 14:47:47.489	0001-0000-0347-486A	Ties-niconico
2017-12-18 14:47:47.489	0001-0000-0347-486A	TORAKING-No.1
2017-12-18 14:47:47.489	0001-0000-0347-486A	vinca0310
2018-01-16 00:15:23.643	0001-0000-0347-486A	Westview99
2018-01-31 14:37:50.068	0001-0000-0347-486A	Winnie42
2017-12-18 14:47:48.878	0001-0000-0359-B3CD	809109
2017-12-18 14:47:48.878	0001-0000-0359-B3CD	BHcrew4708
2017-12-18 14:47:48.878	0001-0000-0359-B3CD	fuji525
2017-12-18 14:47:48.878	0001-0000-0359-B3CD	Rotto_spla
2017-12-18 14:47:48.878	0001-0000-0359-B3CD	sonnemann
2017-12-18 14:47:48.878	0001-0000-0359-B3CD	Tugaeddy
2018-02-23 15:22:45.931	0002-0000-0328-E374	1112nick
2018-02-23 15:22:45.931	0002-0000-0328-E374	5375kjojiok59
2018-02-23 15:22:45.931	0002-0000-0328-E374	Claudiagh
2018-02-23 15:22:45.931	0002-0000-0328-E374	Disney1977
2018-02-23 15:22:45.931	0002-0000-0328-E374	DukeX007X
2018-02-23 15:22:45.931	0002-0000-0328-E374	ishindenshin217
2018-02-23 15:22:45.931	0002-0000-0328-E374	Jahooli4
2018-02-23 15:22:45.931	0002-0000-0328-E374	James780
2018-02-23 15:22:45.931	0002-0000-0328-E374	keesnetworkid001
2018-02-23 15:22:45.931	0002-0000-0328-E374	kidfury777
2018-02-23 15:22:45.931	0002-0000-0328-E374	kimi0418
2018-02-23 15:22:45.931	0002-0000-0328-E374	kopiuhy42nm96ljy
2018-02-23 15:22:45.931	0002-0000-0328-E374	KOSEI0727
2018-02-23 15:22:45.931	0002-0000-0328-E374	Liruru223
2018-02-23 15:22:45.931	0002-0000-0328-E374	lke200428
2018-02-23 15:22:45.931	0002-0000-0328-E374	mikdo3
2018-02-23 15:22:45.931	0002-0000-0328-E374	OK_Commuter
2018-02-23 15:22:45.931	0002-0000-0328-E374	picklelorde
2018-02-23 15:22:45.931	0002-0000-0328-E374	prestonbarnhouse
2018-02-23 15:22:45.931	0002-0000-0328-E374	rmgl2014
2018-02-23 15:22:45.931	0002-0000-0328-E374	steveow
2018-02-23 15:22:45.931	0002-0000-0328-E374	Thomasleboss80
2018-02-23 15:22:45.931	0002-0000-0328-E374	TommyGun538
2018-02-23 15:22:45.931	0002-0000-0328-E374	Twan_Jonker
2018-02-23 15:22:45.931	0002-0000-0328-E374	yauyumisu
2018-02-23 15:22:45.931	0002-0000-0328-E374	yoshi161
2018-02-23 15:22:45.931	0002-0000-0328-E374	zeusmagnet
2018-02-23 15:22:45.931	0002-0000-0328-E374	zu-taka-max
2018-02-23 15:22:47.43	0002-0000-034F-8AF4	4Fenway
2018-02-23 15:22:47.43	0002-0000-034F-8AF4	leclasheur2004
2017-12-18 14:47:50.721	0003-0000-030C-B9DE	A.Case
2017-12-18 14:47:50.721	0003-0000-030C-B9DE	DoctorFishbowl
2018-02-20 14:42:29.826	0003-0000-030C-B9DE	engora1
2017-12-18 14:47:50.721	0003-0000-030C-B9DE	GreenIsGold
2017-12-18 14:47:50.721	0003-0000-030C-B9DE	guygaz
2018-02-04 03:42:04.106	0003-0000-030C-B9DE	koutanakahara
2017-12-18 14:47:50.721	0003-0000-030C-B9DE	laowang438
2017-12-18 14:47:50.721	0003-0000-030C-B9DE	nakamitidan
2017-12-18 14:47:50.721	0003-0000-030C-B9DE	Pumapuma-01
2017-12-18 14:47:50.721	0003-0000-030C-B9DE	REN9638
2017-12-18 14:47:50.721	0003-0000-030C-B9DE	rhondachelette
2017-12-18 14:47:50.721	0003-0000-030C-B9DE	Rulycan7
2017-12-18 14:47:50.721	0003-0000-030C-B9DE	Skychan1010
2017-12-18 14:47:50.721	0003-0000-030C-B9DE	ssgss0929
2017-12-18 14:47:50.721	0003-0000-030C-B9DE	superbrett408484
2018-03-02 09:46:29.766	0003-0000-0343-6D59	0323takuya
2018-03-02 09:46:29.766	0003-0000-0343-6D59	826taku715
2018-04-10 11:02:05.263	0003-0000-0343-6D59	AfterDinnerMint
2018-03-02 09:46:29.766	0003-0000-0343-6D59	Duna00
2018-03-02 09:46:29.766	0003-0000-0343-6D59	Funnijoker12
2018-03-02 09:46:29.766	0003-0000-0343-6D59	jhonny93
2018-03-02 09:46:29.766	0003-0000-0343-6D59	kotarou1005
2018-03-02 09:46:29.766	0003-0000-0343-6D59	kyliecupcake
2018-03-02 09:46:29.766	0003-0000-0343-6D59	MexicanMama83
2018-03-02 09:46:29.766	0003-0000-0343-6D59	Mr.PWOer
2018-03-02 09:46:29.766	0003-0000-0343-6D59	nathan5198
2018-03-02 09:46:29.766	0003-0000-0343-6D59	N-BARRY95
2018-04-10 11:02:05.263	0003-0000-0343-6D59	newo48
2018-03-02 09:46:29.766	0003-0000-0343-6D59	Pokefan2098
2018-03-02 09:46:29.766	0003-0000-0343-6D59	reyrae718
2018-03-02 09:46:29.766	0003-0000-0343-6D59	sidonie16
2018-03-02 09:46:29.766	0003-0000-0343-6D59	take-max7
2018-03-02 09:46:29.766	0003-0000-0343-6D59	ToBeLaZ4321
2018-03-02 09:46:29.766	0003-0000-0343-6D59	toothlessray
2018-03-02 09:46:29.766	0003-0000-0343-6D59	tsubaki_v
2018-04-10 11:02:05.263	0003-0000-0343-6D59	tsucchi-minkun
2018-03-02 09:46:29.766	0003-0000-0343-6D59	Tyler0307
2018-03-02 09:46:29.766	0003-0000-0343-6D59	yk9yk9
2018-03-02 09:46:31.504	0004-0000-032F-8A2E	agentofalucard
2018-03-02 09:46:31.504	0004-0000-032F-8A2E	elfballer
2018-03-02 09:46:31.504	0004-0000-032F-8A2E	gaaboo
2018-03-02 09:46:31.504	0004-0000-032F-8A2E	jonpaulokeeffe
2018-03-02 09:46:31.504	0004-0000-032F-8A2E	JUANFELIPEMEJIA
2018-03-02 09:46:31.504	0004-0000-032F-8A2E	marlui3dworld
2018-03-02 09:46:31.504	0004-0000-032F-8A2E	oosyun06
2018-03-02 09:46:31.504	0004-0000-032F-8A2E	XxNinjaKnife3xX
2018-03-02 09:46:31.504	0004-0000-032F-8A2E	yamaguchi14779
2017-12-18 14:47:52.16	0004-0000-0333-88D7	831yoshi
2017-12-18 14:47:52.16	0004-0000-0333-88D7	apoc_ze
2017-12-18 14:47:52.16	0004-0000-0333-88D7	calamar01
2017-12-18 14:47:52.16	0004-0000-0333-88D7	Cat-luby85
2017-12-18 14:47:52.16	0004-0000-0333-88D7	darkrobo48
2017-12-18 14:47:52.16	0004-0000-0333-88D7	h12-ryou-0630
2017-12-18 14:47:52.16	0004-0000-0333-88D7	hima0908k
2017-12-18 14:47:52.16	0004-0000-0333-88D7	Hypername
2017-12-18 14:47:52.16	0004-0000-0333-88D7	individual11
2017-12-18 14:47:52.16	0004-0000-0333-88D7	kamikiri1058
2018-04-10 11:02:07.757	0004-0000-0333-88D7	katsumi126
2017-12-18 14:47:52.16	0004-0000-0333-88D7	koyokoyokuuya
2018-04-10 11:02:07.757	0004-0000-0333-88D7	link0690
2017-12-18 14:47:52.16	0004-0000-0333-88D7	louis1322
2017-12-18 14:47:52.16	0004-0000-0333-88D7	Luigi57_13
2017-12-18 14:47:52.16	0004-0000-0333-88D7	nickrocks3
2017-12-18 14:47:52.16	0004-0000-0333-88D7	reochero
2018-04-10 11:02:07.757	0004-0000-0333-88D7	riokuntom3
2018-03-03 10:27:28	0004-0000-0333-88D7	royoleo
2018-04-10 11:02:07.757	0004-0000-0333-88D7	shirou2577
2018-03-01 08:56:00.682	0004-0000-0333-88D7	tomoyadengana
2017-12-18 14:47:52.16	0004-0000-0333-88D7	TwilightSparkle5
2018-02-23 14:38:30.952	0005-0000-0341-F132	apeminkie
2018-02-23 14:38:30.952	0005-0000-0341-F132	peachears2
2018-03-01 18:55:30.055	0005-0000-0341-F132	punk_ACE89
2018-02-23 14:38:30.952	0005-0000-0341-F132	rudyduck
2018-02-23 14:38:30.952	0005-0000-0341-F132	shi1518
2017-12-18 14:47:54.141	0006-0000-0327-2AA0	123098iopmjgd
2017-12-18 14:47:54.141	0006-0000-0327-2AA0	1852SOUTA
2017-12-18 14:47:54.141	0006-0000-0327-2AA0	5150roadstar
2017-12-18 14:47:54.141	0006-0000-0327-2AA0	badgirl896
2017-12-18 14:47:54.141	0006-0000-0327-2AA0	belgirl5
2017-12-18 14:47:54.141	0006-0000-0327-2AA0	BigmanQ31
2017-12-18 14:47:54.141	0006-0000-0327-2AA0	cieloytierra
2017-12-18 14:47:54.141	0006-0000-0327-2AA0	DoctorMew01
2017-12-18 14:47:54.141	0006-0000-0327-2AA0	d.yutakazu
2017-12-18 14:47:54.141	0006-0000-0327-2AA0	fitzjarrald91
2018-03-12 19:24:07.358	0006-0000-0327-2AA0	hunterjok
2017-12-18 14:47:54.141	0006-0000-0327-2AA0	igor338
2018-02-08 14:00:16.324	0006-0000-0327-2AA0	ironmike1093
2017-12-18 14:47:54.141	0006-0000-0327-2AA0	itsmedrk
2017-12-18 14:47:54.141	0006-0000-0327-2AA0	JimmyJOrtiz
2017-12-18 14:47:54.141	0006-0000-0327-2AA0	JMI-FUJI
2017-12-18 14:47:54.141	0006-0000-0327-2AA0	JWA2002
2017-12-18 14:47:54.141	0006-0000-0327-2AA0	lapizin
2017-12-18 14:47:54.141	0006-0000-0327-2AA0	marove
2017-12-18 14:47:54.141	0006-0000-0327-2AA0	MattyPSX
2017-12-18 14:47:54.141	0006-0000-0327-2AA0	Megathobi
2017-12-18 14:47:54.141	0006-0000-0327-2AA0	MisterGuy007
2018-04-10 11:02:09.375	0006-0000-0327-2AA0	Nemmesys
2017-12-18 14:47:54.141	0006-0000-0327-2AA0	potetobudou
2017-12-18 14:47:54.141	0006-0000-0327-2AA0	PrincessCoco2
2017-12-18 14:47:54.141	0006-0000-0327-2AA0	regankendal
2018-04-10 11:02:09.375	0006-0000-0327-2AA0	Rinta1223
2018-03-05 21:20:40.931	0006-0000-0327-2AA0	RodOfPurity
2017-12-18 14:47:54.141	0006-0000-0327-2AA0	SAKAMOTO710156
2017-12-18 14:47:54.141	0006-0000-0327-2AA0	simone21decicco
2017-12-18 14:47:54.141	0006-0000-0327-2AA0	smother123
2018-02-04 18:31:30.882	0006-0000-0327-2AA0	TheMetzgers
