catch	id	player
2018-03-02 09:55:59.299	F399-0000-032E-37F9	hmmkk_abe
2018-03-02 09:55:59.299	F399-0000-032E-37F9	IRGUPE
2018-03-02 09:55:59.299	F399-0000-032E-37F9	jamesajohnson917
2018-03-02 09:55:59.299	F399-0000-032E-37F9	jetermi
2018-03-02 09:55:59.299	F399-0000-032E-37F9	marioandluiginow
2018-03-02 09:55:59.299	F399-0000-032E-37F9	minami789
2018-03-02 09:55:59.299	F399-0000-032E-37F9	OCraftJ
2018-03-02 09:55:59.299	F399-0000-032E-37F9	pontiac98
2018-03-02 09:55:59.299	F399-0000-032E-37F9	raggerund
2018-03-02 09:55:59.299	F399-0000-032E-37F9	RubyDubyDo
2018-03-02 09:55:59.299	F399-0000-032E-37F9	sjlkeen
2018-03-02 09:55:59.299	F399-0000-032E-37F9	SylviaSaiyan
2018-03-02 09:55:59.299	F399-0000-032E-37F9	tylerfaithn
2018-03-02 09:55:59.299	F399-0000-032E-37F9	vivaan123
2017-12-18 15:23:23.449	F399-0000-0359-FEBE	ChesneyR
2017-12-18 15:23:23.449	F399-0000-0359-FEBE	EGROJ1999
2017-12-18 15:23:23.449	F399-0000-0359-FEBE	hrm1226
2017-12-18 15:23:23.449	F399-0000-0359-FEBE	jujubee726
2017-12-18 15:23:23.449	F399-0000-0359-FEBE	keita0716jp
2017-12-18 15:23:23.449	F399-0000-0359-FEBE	LeoSipa
2017-12-18 15:23:23.449	F399-0000-0359-FEBE	ness_lsd4
2017-12-18 15:23:23.449	F399-0000-0359-FEBE	romacorp
2018-01-02 08:17:19.265	F399-0000-0359-FEBE	sara_h_haru
2018-01-02 08:17:19.265	F399-0000-0359-FEBE	shadowmau
2017-12-18 15:23:23.449	F399-0000-0359-FEBE	TenaciousGS
2018-01-31 15:12:53.482	F399-0000-0359-FEBE	tutoia
2017-12-18 15:23:23.449	F399-0000-0359-FEBE	w-03.vvv
2018-01-02 08:17:19.265	F399-0000-0359-FEBE	zxcasdqwe702
2017-11-16 16:19:42.33	F39B-0000-0349-1041	adriao
2017-11-16 16:19:42.33	F39B-0000-0349-1041	Badger772
2018-01-02 08:04:54.141	F39B-0000-0349-1041	Bartek14
2017-11-16 16:19:42.33	F39B-0000-0349-1041	bbarreirarj
2017-11-16 16:19:42.33	F39B-0000-0349-1041	bigjerm9
2017-11-16 16:19:42.33	F39B-0000-0349-1041	charlie210
2017-12-17 11:38:17.531	F39B-0000-0349-1041	corderoglaze
2017-11-16 16:19:42.33	F39B-0000-0349-1041	DORAGON_0825
2018-01-31 15:28:36.962	F39B-0000-0349-1041	dylnclx
2017-11-16 16:19:42.33	F39B-0000-0349-1041	ethanandaaron666
2018-02-20 15:03:05.315	F39B-0000-0349-1041	francog323
2018-01-31 15:28:36.962	F39B-0000-0349-1041	gh0stclan
2017-11-16 16:19:42.33	F39B-0000-0349-1041	Hay-Hay700
2017-11-16 16:19:42.33	F39B-0000-0349-1041	heygraffa
2017-11-16 16:19:42.33	F39B-0000-0349-1041	hiiroha
2017-11-16 16:19:42.33	F39B-0000-0349-1041	hikari-animal
2017-11-16 16:19:42.33	F39B-0000-0349-1041	Izan-Navarro
2017-11-16 16:19:42.33	F39B-0000-0349-1041	jany_80
2018-01-02 08:04:54.141	F39B-0000-0349-1041	jaxonrice5
2017-11-16 16:19:42.33	F39B-0000-0349-1041	kanakun0531
2017-11-16 16:19:42.33	F39B-0000-0349-1041	kentaemo
2017-11-16 16:19:42.33	F39B-0000-0349-1041	KieranHow
2017-11-16 16:19:42.33	F39B-0000-0349-1041	knightstr
2017-11-16 16:19:42.33	F39B-0000-0349-1041	kokhavis
2017-11-16 16:19:42.33	F39B-0000-0349-1041	lucaspelon85
2017-11-16 16:19:42.33	F39B-0000-0349-1041	MarioKid329
2017-11-16 16:19:42.33	F39B-0000-0349-1041	masaaki0923
2018-02-20 15:03:05.315	F39B-0000-0349-1041	mauroarq
2017-11-16 16:19:42.33	F39B-0000-0349-1041	mdmelton
2017-11-16 16:19:42.33	F39B-0000-0349-1041	MiZuKi_ChiRo
2017-12-18 05:30:35.392	F39B-0000-0349-1041	m.k2016kirari
2017-12-21 08:08:12.471	F39B-0000-0349-1041	msjugon
2017-11-16 16:19:42.33	F39B-0000-0349-1041	MURASAKI1001
2017-11-16 16:19:42.33	F39B-0000-0349-1041	Nuno-Mikel
2017-11-16 16:19:42.33	F39B-0000-0349-1041	oubobcats
2018-02-20 15:03:05.315	F39B-0000-0349-1041	ours01
2017-11-16 16:19:42.33	F39B-0000-0349-1041	PENYAGOLOSA
2017-11-16 16:19:42.33	F39B-0000-0349-1041	peteman2004
2017-11-16 16:19:42.33	F39B-0000-0349-1041	PitokoParrudo666
2017-12-17 19:40:13.935	F39B-0000-0349-1041	rayanzr
2017-11-16 16:19:42.33	F39B-0000-0349-1041	ricardo.vidal
2018-03-02 09:56:16.022	F3A3-0000-0315-0489	fast94
2017-11-16 16:19:42.33	F39B-0000-0349-1041	riki0812kousei
2018-03-01 09:11:20.759	F39B-0000-0349-1041	rikutsuda
2017-11-16 16:19:42.33	F39B-0000-0349-1041	Rob-Noise77
2017-11-16 16:19:42.33	F39B-0000-0349-1041	ryanlenny
2017-12-15 16:22:46.928	F39B-0000-0349-1041	simpleocaso
2017-11-16 16:19:42.33	F39B-0000-0349-1041	supermariowirld9
2017-11-16 16:19:42.33	F39B-0000-0349-1041	TenaciousGS
2017-11-16 16:19:42.33	F39B-0000-0349-1041	TheTwelfthGuy
2017-11-16 16:19:42.33	F39B-0000-0349-1041	thiago55268
2017-11-16 16:19:42.33	F39B-0000-0349-1041	Thibaut_dav
2017-12-15 16:22:46.928	F39B-0000-0349-1041	tomoyuu56
2017-11-16 16:19:42.33	F39B-0000-0349-1041	tontsaa8
2017-11-16 16:19:42.33	F39B-0000-0349-1041	wakeupmrchuckles
2017-11-16 16:19:42.33	F39B-0000-0349-1041	XWarrior1113
2017-11-16 16:19:42.33	F39B-0000-0349-1041	zampato
2017-12-18 15:23:24.993	F39B-0000-0358-4B0F	aegnet1
2017-12-18 15:23:24.993	F39B-0000-0358-4B0F	AndreLugo
2017-12-18 15:23:24.993	F39B-0000-0358-4B0F	boomerlol
2017-12-18 15:23:24.993	F39B-0000-0358-4B0F	bradbullock
2017-12-18 15:23:24.993	F39B-0000-0358-4B0F	DouyuTV-wh
2017-12-18 15:23:24.993	F39B-0000-0358-4B0F	eddiethe4th
2017-12-18 15:23:24.993	F39B-0000-0358-4B0F	Holzi2000
2017-12-18 15:23:24.993	F39B-0000-0358-4B0F	itokun0109
2017-12-18 15:23:24.993	F39B-0000-0358-4B0F	ivangonzalezsanz
2017-12-18 15:23:24.993	F39B-0000-0358-4B0F	Jambo4242
2017-12-18 15:23:24.993	F39B-0000-0358-4B0F	kusamono
2017-12-18 15:23:24.993	F39B-0000-0358-4B0F	lasercuatro
2017-12-18 15:23:24.993	F39B-0000-0358-4B0F	Limegamer13
2017-12-18 15:23:24.993	F39B-0000-0358-4B0F	miyaharagorobei
2017-12-18 15:23:24.993	F39B-0000-0358-4B0F	sadiemaerussell
2017-12-18 15:23:24.993	F39B-0000-0358-4B0F	stuartlitte
2017-12-18 15:23:24.993	F39B-0000-0358-4B0F	thaethy
2017-12-18 15:23:24.993	F39B-0000-0358-4B0F	valavir
2017-12-18 15:23:24.993	F39B-0000-0358-4B0F	Xzen54321
2017-12-18 15:23:26.772	F39B-0000-0359-15A6	21blake
2017-12-18 15:23:26.772	F39B-0000-0359-15A6	aragon22
2017-12-18 15:23:26.772	F39B-0000-0359-15A6	duduque
2017-12-18 15:23:26.772	F39B-0000-0359-15A6	ers8488
2017-12-18 15:23:26.772	F39B-0000-0359-15A6	Everhearted
2018-01-02 08:17:22.037	F39B-0000-0359-15A6	hectororden
2017-12-18 15:23:26.772	F39B-0000-0359-15A6	kaitoeb
2018-02-20 17:36:29.56	F39B-0000-0359-15A6	luciacoboalejand
2017-12-18 15:23:26.772	F39B-0000-0359-15A6	mizumahi
2017-12-18 15:23:26.772	F39B-0000-0359-15A6	oghan11
2017-12-18 15:23:26.772	F39B-0000-0359-15A6	paolino1975
2017-12-18 15:23:26.772	F39B-0000-0359-15A6	PeachsGalaxi
2017-12-18 15:23:26.772	F39B-0000-0359-15A6	r.sato1122
2017-12-18 15:23:26.772	F39B-0000-0359-15A6	salvador1977
2018-01-31 15:12:55.596	F39B-0000-0359-15A6	Sebastian4586
2017-12-18 15:23:26.772	F39B-0000-0359-15A6	ShauniES
2017-12-18 15:23:26.772	F39B-0000-0359-15A6	takafumi76
2017-12-18 15:23:26.772	F39B-0000-0359-15A6	tysonhabein
2018-01-02 08:04:55.944	F39B-0000-0362-2D6E	barryvictor65
2017-11-16 16:19:44.234	F39B-0000-0362-2D6E	BRINCAR
2017-11-16 16:19:44.234	F39B-0000-0362-2D6E	busbyfamily15
2017-11-16 16:19:44.234	F39B-0000-0362-2D6E	DarkPitto
2018-01-02 08:04:55.944	F39B-0000-0362-2D6E	erickwilson88
2017-11-16 16:19:44.234	F39B-0000-0362-2D6E	fal1008
2017-11-16 16:19:44.234	F39B-0000-0362-2D6E	harrybefc
2017-12-21 04:00:18.257	F39B-0000-0362-2D6E	hidekazu555
2017-11-16 16:19:44.234	F39B-0000-0362-2D6E	JOLP01
2017-11-16 16:19:44.234	F39B-0000-0362-2D6E	levelrex
2017-11-16 16:19:44.234	F39B-0000-0362-2D6E	Mitsuki-Koba
2017-11-16 16:19:44.234	F39B-0000-0362-2D6E	MSANDINO
2017-11-16 16:19:44.234	F39B-0000-0362-2D6E	NOAH9603
2017-11-16 16:19:44.234	F39B-0000-0362-2D6E	olsenslovelegos
2017-11-16 16:19:44.234	F39B-0000-0362-2D6E	Professor_Doopid
2017-11-16 16:19:44.234	F39B-0000-0362-2D6E	Puppy_Force8
