catch	id	player
2017-12-18 16:02:19.412	5822-0000-033F-89B0	BenjaminVallejo
2017-12-19 15:48:27.262	5822-0000-033F-89B0	bestest3
2017-12-18 16:02:19.412	5822-0000-033F-89B0	BlaketheBlock
2018-01-02 07:34:12.033	582A-0000-0323-2E3F	ImR2D2
2017-12-18 16:02:19.412	5822-0000-033F-89B0	Blossum1953
2018-01-14 17:22:12.785	5822-0000-033F-89B0	byeagens
2017-12-18 16:02:19.412	5822-0000-033F-89B0	calisa919
2017-12-18 16:02:19.412	5822-0000-033F-89B0	captainawesome85
2017-12-18 16:02:19.412	5822-0000-033F-89B0	carcesar
2018-01-02 08:01:59.688	5822-0000-033F-89B0	carneycorbie
2017-12-18 16:02:19.412	5822-0000-033F-89B0	cdjeffers
2017-12-18 16:02:19.412	5822-0000-033F-89B0	chacondealvarez
2017-12-18 16:02:19.412	5822-0000-033F-89B0	chasetharaldson
2018-01-02 08:01:59.688	5822-0000-033F-89B0	cmadkins26
2017-12-18 16:02:19.412	5822-0000-033F-89B0	congurentear8
2017-12-18 16:02:19.412	5822-0000-033F-89B0	Coombs68
2017-12-18 16:02:19.412	5822-0000-033F-89B0	corinthians22
2017-12-18 16:02:19.412	5822-0000-033F-89B0	Cyborg.Franky38
2017-12-18 16:02:19.412	5822-0000-033F-89B0	Dagersheim
2017-12-18 16:02:19.412	5822-0000-033F-89B0	dashcoulter
2017-12-18 16:02:19.412	5822-0000-033F-89B0	Deportes
2017-12-18 16:02:19.412	5822-0000-033F-89B0	derouen
2017-12-18 16:02:19.412	5822-0000-033F-89B0	Diddle_Beast
2017-12-18 16:02:19.412	5822-0000-033F-89B0	DIE_MUTANT
2017-12-18 16:02:19.412	5822-0000-033F-89B0	dodoinaka
2017-12-18 16:02:19.412	5822-0000-033F-89B0	donnie104
2017-12-18 16:02:19.412	5822-0000-033F-89B0	ElGato70
2018-01-02 08:01:59.688	5822-0000-033F-89B0	emeraldcopnj
2017-12-18 16:02:19.412	5822-0000-033F-89B0	ErikS52
2017-12-18 16:02:19.412	5822-0000-033F-89B0	Eriks767
2017-12-18 16:02:19.412	5822-0000-033F-89B0	games2020
2017-12-18 16:02:19.412	5822-0000-033F-89B0	GrahamsNumber
2017-12-18 16:02:19.412	5822-0000-033F-89B0	Green_LED
2017-12-18 16:02:19.412	5822-0000-033F-89B0	guga.oliva
2017-12-18 16:02:19.412	5822-0000-033F-89B0	hakuhino
2017-12-18 16:02:19.412	5822-0000-033F-89B0	haruyuu0729
2017-12-18 16:02:19.412	5822-0000-033F-89B0	Hector230303
2017-12-18 16:02:19.412	5822-0000-033F-89B0	idontknowlel
2018-01-31 15:14:36.669	5822-0000-033F-89B0	IsheyBOOM04
2017-12-18 16:02:19.412	5822-0000-033F-89B0	ItzButter
2017-12-18 16:02:19.412	5822-0000-033F-89B0	jaelprettyboy
2017-12-18 16:02:19.412	5822-0000-033F-89B0	JamesGamesPlayz
2017-12-18 16:02:19.412	5822-0000-033F-89B0	jasond444
2017-12-18 16:02:19.412	5822-0000-033F-89B0	jaydog6
2017-12-18 16:02:19.412	5822-0000-033F-89B0	jeffreyjr1010
2018-01-31 15:14:36.669	5822-0000-033F-89B0	jon330
2017-12-18 16:02:19.412	5822-0000-033F-89B0	Julian181109
2017-12-18 16:02:19.412	5822-0000-033F-89B0	Keilkids
2017-12-18 16:02:19.412	5822-0000-033F-89B0	kendamadg
2017-12-18 16:02:19.412	5822-0000-033F-89B0	kike20007
2017-12-18 16:02:19.412	5822-0000-033F-89B0	kobeknight
2018-01-05 07:28:34.91	5822-0000-033F-89B0	kotoman1204
2018-02-20 15:26:14.539	5822-0000-033F-89B0	Kykers
2018-02-20 20:27:07.979	5822-0000-033F-89B0	LechendHero
2018-02-20 15:26:14.539	5822-0000-033F-89B0	leomax76
2018-02-20 15:26:14.539	5822-0000-033F-89B0	lesquereux
2017-12-18 16:02:19.412	5822-0000-033F-89B0	LeviFoose
2017-12-18 16:02:19.412	5822-0000-033F-89B0	littleg07
2018-01-08 08:43:29.175	5822-0000-033F-89B0	loafalotapus
2017-12-18 16:02:19.412	5822-0000-033F-89B0	longrope-mkiy
2017-12-18 16:02:19.412	5822-0000-033F-89B0	lucas_asprilla
2017-12-18 16:02:19.412	5822-0000-033F-89B0	m03three
2017-12-18 16:02:19.412	5822-0000-033F-89B0	maccantonio
2017-12-18 16:02:19.412	5822-0000-033F-89B0	malacran1990
2018-02-05 20:07:42.02	5822-0000-033F-89B0	MarlonAlecio
2017-12-18 16:02:19.412	5822-0000-033F-89B0	martymcfly103
2017-12-18 16:02:19.412	5822-0000-033F-89B0	masashiokawa
2017-12-18 16:02:19.412	5822-0000-033F-89B0	masato1027o
2017-12-18 16:02:19.412	5822-0000-033F-89B0	MasterGrapeJuice
2017-12-19 15:48:27.262	5822-0000-033F-89B0	matteopicachu
2017-12-18 16:02:19.412	5822-0000-033F-89B0	MAXAMUS0603
2017-12-18 16:02:19.412	5822-0000-033F-89B0	m.hinata614
2018-01-02 08:01:59.688	5822-0000-033F-89B0	MiguelTheGamer0
2017-12-18 16:02:19.412	5822-0000-033F-89B0	milsuke
2017-12-18 16:02:19.412	5822-0000-033F-89B0	MonkeyDStyler
2018-01-02 08:01:59.688	5822-0000-033F-89B0	Moonwues
2018-02-09 09:41:36.321	5822-0000-033F-89B0	mynameisgasper
2017-12-18 16:02:19.412	5822-0000-033F-89B0	nekoyoka
2018-01-02 08:01:59.688	5822-0000-033F-89B0	niniss38
2017-12-18 16:02:19.412	5822-0000-033F-89B0	noa1921
2017-12-18 16:02:19.412	5822-0000-033F-89B0	nogues06
2017-12-18 16:02:19.412	5822-0000-033F-89B0	OAKYMAN
2017-12-18 16:02:19.412	5822-0000-033F-89B0	olaf.pm
2018-01-02 08:01:59.688	5822-0000-033F-89B0	penguin32888
2017-12-18 16:02:19.412	5822-0000-033F-89B0	perreask
2017-12-18 16:02:19.412	5822-0000-033F-89B0	Poseidon2011
2017-12-18 16:02:19.412	5822-0000-033F-89B0	raph.12345
2017-12-18 16:02:19.412	5822-0000-033F-89B0	rui.mura
2017-12-18 16:02:19.412	5822-0000-033F-89B0	ryderray
2017-12-18 16:02:19.412	5822-0000-033F-89B0	ryotosatoru
2018-01-31 15:14:36.669	5822-0000-033F-89B0	Samuelrhod
2017-12-18 16:02:19.412	5822-0000-033F-89B0	sansandtemmie
2017-12-18 16:02:19.412	5822-0000-033F-89B0	santalucy
2017-12-18 16:02:19.412	5822-0000-033F-89B0	Santi1984
2017-12-18 16:02:19.412	5822-0000-033F-89B0	sara_moxamed
2018-02-20 15:26:14.539	5822-0000-033F-89B0	Scootez
2017-12-18 16:02:19.412	5822-0000-033F-89B0	singleparent386
2017-12-18 16:02:19.412	5822-0000-033F-89B0	siorangen
2017-12-18 16:02:19.412	5822-0000-033F-89B0	SirGamedCrazed
2017-12-18 16:02:19.412	5822-0000-033F-89B0	soller
2017-12-18 16:02:19.412	5822-0000-033F-89B0	Spike777865
2017-12-18 16:02:19.412	5822-0000-033F-89B0	sploit
2017-12-18 16:02:19.412	5822-0000-033F-89B0	superbibi2401
2017-12-18 16:02:19.412	5822-0000-033F-89B0	syo-yo-5
2017-12-18 16:02:19.412	5822-0000-033F-89B0	talerani
2017-12-18 16:02:19.412	5822-0000-033F-89B0	ThePosts16
2017-12-18 16:02:19.412	5822-0000-033F-89B0	TreaddyBear
2017-12-18 16:02:19.412	5822-0000-033F-89B0	Tronball
2017-12-18 16:02:19.412	5822-0000-033F-89B0	TRP101
2017-12-18 16:02:19.412	5822-0000-033F-89B0	trugybfjr
2017-12-18 16:02:19.412	5822-0000-033F-89B0	WalleWill
2017-12-18 16:02:19.412	5822-0000-033F-89B0	wickosk8
2017-12-18 16:02:19.412	5822-0000-033F-89B0	wooflexgaming
2018-01-02 08:01:59.688	5822-0000-033F-89B0	xlottislx
2017-12-18 16:02:19.412	5822-0000-033F-89B0	Y95U75K05
2018-01-31 15:14:36.669	5822-0000-033F-89B0	YUITI711
2018-01-02 08:01:59.688	5822-0000-033F-89B0	yuyuyu-hima
2017-12-18 16:02:19.412	5822-0000-033F-89B0	zombie20605
2018-02-23 14:46:32.055	5823-0000-034A-4DE2	Andreas171283
2018-02-23 14:46:32.055	5823-0000-034A-4DE2	Dennyzex-Creed
2018-02-23 14:46:32.055	5823-0000-034A-4DE2	guillaume57430
2018-02-23 14:46:32.055	5823-0000-034A-4DE2	Haru-kun118
2018-02-23 14:46:32.055	5823-0000-034A-4DE2	Kenshiro0104
2018-02-23 14:46:32.055	5823-0000-034A-4DE2	MrStoOnE
2018-02-23 14:46:32.055	5823-0000-034A-4DE2	ousuke44
2018-02-23 14:46:32.055	5823-0000-034A-4DE2	plutonium-power
2018-02-23 14:46:32.055	5823-0000-034A-4DE2	Ryou_Ryou123456
2018-02-23 14:46:32.055	5823-0000-034A-4DE2	vic06da
2018-02-23 14:46:32.055	5823-0000-034A-4DE2	x427525
2018-02-23 14:46:33.487	5824-0000-0302-A908	0987.a.h
2018-02-23 14:46:33.487	5824-0000-0302-A908	2623hi
