catch	id	player
2017-12-18 16:10:50.527	D007-0000-0300-A3A3	Kay-em
2018-01-31 14:50:29.624	D007-0000-0300-A3A3	kleberraimbow
2018-02-20 17:58:00.495	D007-0000-0300-A3A3	KushSenpai
2017-12-18 16:10:50.527	D007-0000-0300-A3A3	Kvarforth96
2018-02-20 17:58:00.495	D007-0000-0300-A3A3	lolipopo111111
2017-12-18 16:10:50.527	D007-0000-0300-A3A3	Luigi_Playz740
2017-12-18 16:10:50.527	D007-0000-0300-A3A3	Mariaeberl1
2017-12-18 16:10:50.527	D007-0000-0300-A3A3	Miserere_Nobis
2018-03-05 19:50:33.132	D007-0000-0300-A3A3	newtein
2017-12-18 16:10:50.527	D007-0000-0300-A3A3	nickylee1206
2018-02-20 17:58:00.495	D007-0000-0300-A3A3	Owencarlisle05
2017-12-18 16:10:50.527	D007-0000-0300-A3A3	poniesrule9
2017-12-18 16:10:50.527	D007-0000-0300-A3A3	PPAP5180
2017-12-18 16:10:50.527	D007-0000-0300-A3A3	ruito-raito
2017-12-18 16:10:50.527	D007-0000-0300-A3A3	Scottyboyzy
2017-12-18 16:10:50.527	D007-0000-0300-A3A3	skipjack7up
2017-12-18 16:10:50.527	D007-0000-0300-A3A3	Tanae15
2017-12-18 16:10:50.527	D007-0000-0300-A3A3	themillers-regen
2017-12-18 16:10:50.527	D007-0000-0300-A3A3	Vio-Hase
2017-12-18 16:10:50.527	D007-0000-0300-A3A3	west48
2018-03-02 10:08:25.045	D007-0000-0367-3262	Armian
2018-03-02 10:08:25.045	D007-0000-0367-3262	aronboldt2003
2018-03-02 10:08:25.045	D007-0000-0367-3262	ayuayu2222
2018-03-02 10:08:25.045	D007-0000-0367-3262	ByteLight0115
2018-03-02 10:08:25.045	D007-0000-0367-3262	DLOSLA890123
2018-03-02 10:08:25.045	D007-0000-0367-3262	edgarchivas
2018-03-02 10:08:25.045	D007-0000-0367-3262	edgardornelas
2018-03-02 10:08:25.045	D007-0000-0367-3262	friar3
2018-03-02 10:08:25.045	D007-0000-0367-3262	fussball-finn.de
2018-03-02 10:08:25.045	D007-0000-0367-3262	Gluecksbaerchen1
2018-03-02 10:08:25.045	D007-0000-0367-3262	GrouBatLink_xD
2018-03-02 10:08:25.045	D007-0000-0367-3262	halotori
2018-03-02 10:08:25.045	D007-0000-0367-3262	hockeyjaid
2018-03-02 10:08:25.045	D007-0000-0367-3262	IOAMED
2018-03-02 10:08:25.045	D007-0000-0367-3262	juanmasase
2018-03-02 10:08:25.045	D007-0000-0367-3262	kacper44
2018-03-02 10:08:25.045	D007-0000-0367-3262	Luigi64-DD.313
2018-03-02 10:08:25.045	D007-0000-0367-3262	makoto1661
2018-03-02 10:08:25.045	D007-0000-0367-3262	mario-tomoya
2018-03-02 10:08:25.045	D007-0000-0367-3262	MG4791
2018-03-02 10:08:25.045	D007-0000-0367-3262	Namlook
2018-03-02 10:08:25.045	D007-0000-0367-3262	oraymw
2018-03-02 10:08:25.045	D007-0000-0367-3262	Papitato
2018-03-02 10:08:25.045	D007-0000-0367-3262	RainyDayGang
2018-03-02 10:08:25.045	D007-0000-0367-3262	skrccj6
2018-03-02 10:08:25.045	D007-0000-0367-3262	SlimShader
2018-03-02 10:08:25.045	D007-0000-0367-3262	sutila
2018-03-02 10:08:25.045	D007-0000-0367-3262	VollBasic
2018-03-02 10:08:25.045	D007-0000-0367-3262	wiliwili88
2018-03-02 10:08:25.045	D007-0000-0367-3262	yuuya04070
2018-03-05 12:19:13.159	D008-0000-0340-2518	Clodwig14
2018-03-02 10:08:26.755	D008-0000-0340-2518	conchibackpocket
2018-03-02 10:08:26.755	D008-0000-0340-2518	Daiki200977
2018-03-02 10:08:26.755	D008-0000-0340-2518	eritovedder
2018-03-02 10:08:26.755	D008-0000-0340-2518	Matias098498
2018-03-02 10:08:26.755	D008-0000-0340-2518	maxd1221
2018-03-02 10:08:26.755	D008-0000-0340-2518	nintimdo2006
2018-03-02 10:08:26.755	D008-0000-0340-2518	osa0822
2018-03-02 10:08:26.755	D008-0000-0340-2518	tobbymaou
2018-03-04 08:29:44.764	D008-0000-0340-2518	wiithin
2018-03-02 10:08:26.755	D008-0000-0340-2518	Zeno48
2018-03-02 10:08:26.755	D008-0000-0340-2518	zgilbert60
2017-12-18 16:10:51.834	D008-0000-0352-A9D8	1212ATSU
2018-01-16 08:40:31.154	D008-0000-0352-A9D8	amaj30
2017-12-18 16:10:51.834	D008-0000-0352-A9D8	Boji1999
2017-12-18 16:10:51.834	D008-0000-0352-A9D8	dadoboys662100
2017-12-18 16:10:51.834	D008-0000-0352-A9D8	dymi31
2017-12-18 16:10:51.834	D008-0000-0352-A9D8	Mario1UPkoopa
2018-03-13 13:16:23.385	D008-0000-0352-A9D8	maximusdracanius
2017-12-18 16:10:51.834	D008-0000-0352-A9D8	mituokun11
2017-12-18 16:10:51.834	D008-0000-0352-A9D8	sillygoose101
2017-12-18 16:10:51.834	D008-0000-0352-A9D8	souyuzujun
2017-12-18 16:10:51.834	D008-0000-0352-A9D8	venetotrading
2017-12-18 16:10:51.834	D008-0000-0352-A9D8	verehn
2017-12-18 16:10:53.601	D009-0000-0322-7A4A	1nu1tu
2017-12-18 16:10:53.601	D009-0000-0322-7A4A	abe-sse1224
2017-12-18 16:10:53.601	D009-0000-0322-7A4A	akito5668
2017-12-18 16:10:53.601	D009-0000-0322-7A4A	AKOP123
2017-12-18 16:10:53.601	D009-0000-0322-7A4A	AmiiboBros
2017-12-18 16:10:53.601	D009-0000-0322-7A4A	atiq1974
2017-12-18 16:10:53.601	D009-0000-0322-7A4A	chickenman099
2017-12-18 16:10:53.601	D009-0000-0322-7A4A	coo1963
2017-12-18 16:10:53.601	D009-0000-0322-7A4A	DylanKalilikane
2018-01-02 07:52:06.429	D009-0000-0322-7A4A	extragamer1989
2017-12-18 16:10:53.601	D009-0000-0322-7A4A	FiCloud
2017-12-18 16:10:53.601	D009-0000-0322-7A4A	gametito
2017-12-18 16:10:53.601	D009-0000-0322-7A4A	HARUNA6193
2017-12-18 16:10:53.601	D009-0000-0322-7A4A	jase9138
2017-12-18 16:10:53.601	D009-0000-0322-7A4A	JUELJUEL
2017-12-18 16:10:53.601	D009-0000-0322-7A4A	jyunniti0523
2017-12-18 16:10:53.601	D009-0000-0322-7A4A	kalihen
2017-12-18 16:10:53.601	D009-0000-0322-7A4A	K.ichiro-Z
2017-12-18 16:10:53.601	D009-0000-0322-7A4A	leoniemazzerba
2018-03-06 04:19:27.963	D009-0000-0322-7A4A	miyabi.m030
2017-12-18 16:10:53.601	D009-0000-0322-7A4A	MNHawk
2017-12-18 16:10:53.601	D009-0000-0322-7A4A	mrb2016
2017-12-18 16:10:53.601	D009-0000-0322-7A4A	MTBUDU12
2017-12-18 16:10:53.601	D009-0000-0322-7A4A	nathanshamana
2017-12-18 16:10:53.601	D009-0000-0322-7A4A	n.k.200204
