catch	id	player
2018-01-04 15:48:43.957	1964-0000-0352-0A07	mammaandbeeps
2017-12-18 14:56:29.637	1964-0000-0352-0A07	powerpuffsama
2017-12-18 14:56:29.637	1964-0000-0352-0A07	roabga
2018-02-20 14:59:13.505	1964-0000-0352-0A07	shinbu-10
2018-02-23 15:04:47.089	1965-0000-0315-957B	abe-masa-mama
2018-02-23 15:04:47.089	1965-0000-0315-957B	blablablobloblio
2018-02-23 15:04:47.089	1965-0000-0315-957B	hioki071821
2018-02-23 15:04:47.089	1965-0000-0315-957B	suwanco3
2018-02-23 15:04:47.089	1965-0000-0315-957B	Turtleman256
2018-02-23 15:04:48.934	1965-0000-031D-FB12	2006frog
2018-02-23 15:04:48.934	1965-0000-031D-FB12	Amicalola
2018-02-23 15:04:48.934	1965-0000-031D-FB12	andro-22
2018-02-23 15:04:48.934	1965-0000-031D-FB12	asbm4jeo51749
2018-02-23 15:04:48.934	1965-0000-031D-FB12	BenSchal
2018-02-23 15:04:48.934	1965-0000-031D-FB12	colt.45griffin
2018-02-23 15:04:48.934	1965-0000-031D-FB12	DaisyDoesntCare
2018-02-23 15:04:48.934	1965-0000-031D-FB12	hausofrenan
2018-02-23 15:04:48.934	1965-0000-031D-FB12	h-tkuc_2
2018-02-23 15:04:48.934	1965-0000-031D-FB12	isabellejazz
2018-02-23 15:04:48.934	1965-0000-031D-FB12	jiraiya100
2018-02-23 15:04:48.934	1965-0000-031D-FB12	kenmihosouta
2018-02-23 15:04:48.934	1965-0000-031D-FB12	kingluigi226
2018-02-23 15:04:48.934	1965-0000-031D-FB12	lolaettiphaine
2018-02-23 15:04:48.934	1965-0000-031D-FB12	MAGGIELOVESCATFD
2018-02-23 15:04:48.934	1965-0000-031D-FB12	marg_rider100
2018-02-23 15:04:48.934	1965-0000-031D-FB12	MarioKid8000
2018-02-23 15:04:48.934	1965-0000-031D-FB12	Odaparis
2018-02-23 15:04:48.934	1965-0000-031D-FB12	PlayAndTrade
2018-02-23 15:04:48.934	1965-0000-031D-FB12	Realmascha
2018-02-23 15:04:48.934	1965-0000-031D-FB12	renarena47
2018-02-23 15:04:48.934	1965-0000-031D-FB12	ri0301o
2018-02-23 15:04:48.934	1965-0000-031D-FB12	shampoo716
2018-02-23 15:04:48.934	1965-0000-031D-FB12	srjaeger
2018-02-23 15:04:48.934	1965-0000-031D-FB12	SuperDuperUber
2018-02-23 15:04:48.934	1965-0000-031D-FB12	xRYOMA0202x
2018-02-23 15:04:48.934	1965-0000-031D-FB12	ymkd29725
2018-02-23 15:04:48.934	1965-0000-031D-FB12	yobuol
2018-02-23 15:04:48.934	1965-0000-031D-FB12	yoshihero5
2018-02-23 15:04:50.138	1965-0000-0340-79DD	arimanulola77777
2018-02-23 15:04:50.138	1965-0000-0340-79DD	DaChLuLi
2018-02-23 15:04:50.138	1965-0000-0340-79DD	dinamondlohmeyer
2018-02-23 15:04:50.138	1965-0000-0340-79DD	hrhrhhks
2018-02-23 15:04:50.138	1965-0000-0340-79DD	islay1219
2018-02-23 15:04:50.138	1965-0000-0340-79DD	Jaycivic
